"company_code","warehouse","receipt_number","receipt_type","receipt_status","order_number","reference_1","reference_2","reference_3","reference_4","supplier_id","supplier_name","supplier_address1","supplier_address2","supplier_address3","supplier_city","supplier_state","supplier_country","supplier_zip","contact_name","contact_phone","contact_fax","contact_e_mail","consignor","carrier_id","carrier_service_level","carrier_account_num","carrier_shipping_cost","carrier_shipping_charge","carrier_declared_value","carrier_cod_value","carrier_cod_type","carrier_waybill","carrier_appoitment","carrier_instructions","carrier_total_pcs","shipping_net_weight","shipping_gross_weight","sea_container_seal","sea_container_number","sea_container_type","sea_container_size","document_date","expected_date","date_received","receipt_start_date","receipt_end_date","date_checked","date_inspected","import_date","last_export_date","close_date","received_by","checked_by","qa_inspector","qa_inspection_tag","qa_minutes","receiving_minutes","checking_minutes","skids_provided","number_of_active_rf_units","skid_type_provided","note_from_customer","note_to_receiver","note_from_receiver","note_from_checker","note_from_qa","location_id","import_batch_number","check_shipment_flag","check_qa_flag","cancel_flag","delivery_rejected_flag","complete_receipt_flag","ready_for_export_flag","export_complete_flag","validate_receiving_flag","uniqueid","num_pallets_received","num_cases_received","processed","IsHistory","IsBackOrder","work_order_auto_pick_complete_flag","whs_transfer_flag","whs_transfer_from_warehouse","user_0","user_1","user_2","user_3","user_4","user_5","user_6","user_7","user_8","user_9","inbound_doc_printed"
"01",MM,"65670",COOLER,Complete,"90342",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-21 00:00:00,2020-08-21 00:00:00,2020-08-22 00:00:00,2020-08-21 19:05:00,,,,2020-08-21 17:37:00,,,rishab,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70210,77,77,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65671",COOLER,In Progress,"90343",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-21 00:00:00,2020-08-21 00:00:00,2020-08-22 00:00:00,2020-08-22 00:46:00,,,,2020-08-21 23:10:00,,,jagan,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70211,24,24,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65698",COOLER,In Progress,"90346",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-26 00:00:00,2020-08-26 00:00:00,2020-08-26 00:00:00,2020-08-26 11:43:00,,,,2020-08-26 05:50:00,,,felix,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70238,32,32,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65677",COOLER,In Progress,"90344",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-24 00:00:00,2020-08-24 00:00:00,2020-08-27 00:00:00,2020-08-24 08:08:00,,,,2020-08-24 06:56:00,,,rishab,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70217,445,445,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65693",COOLER,Complete,"90345",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-25 00:00:00,2020-08-25 00:00:00,2020-08-26 00:00:00,2020-08-25 17:03:00,2020-08-26 06:49:00,,,2020-08-25 14:38:00,,,harjot,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70233,167,167,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65702",COOLER,Complete,"90347",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-26 00:00:00,2020-08-26 00:00:00,2020-08-27 00:00:00,2020-08-26 15:13:00,2020-08-27 05:54:00,,,2020-08-26 13:01:00,,,jagan,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70242,141,141,0,0,0,0,0,"","","","","","","","","","","",0
"01",ICJ,"61882",COOLER,Entered,CDC-20190716-03,,,,,"1156",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,"","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2019-07-16 00:00:00,2019-07-16 00:00:00,,,,,,2019-07-16 17:44:00,,,,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,66341,0,0,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65706",COOLER,Complete,"90348",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-27 00:00:00,2020-08-27 00:00:00,2020-09-12 00:00:00,2020-08-27 04:06:00,,,,2020-08-27 00:38:00,,,felix,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70246,130,130,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65744",COOLER,Complete,"90354",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-31 00:00:00,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-08-31 23:13:00,,,,2020-08-31 21:00:00,,,chen,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70285,169,169,0,0,0,0,0,"","","","","","","","","","","",0
"01",ICJ,"62709",cooler,Complete,cdc-20191004-04,,,,,"1156",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,"","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2019-10-04 00:00:00,2019-10-04 00:00:00,2019-10-04 00:00:00,2019-10-04 20:23:00,2019-10-04 20:26:00,,,2019-10-04 19:31:00,,,felix,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,67204,2,2,0,0,0,0,0,"","","","","","","","","","","",0
