record_id,receipt_number,sku,qty_received
1232575,65623,179678,50.000
1232577,65623,179678,50.000
1232578,65623,179678,50.000
1232580,65623,179678,50.000
1232581,65623,179678,50.000
1232582,65623,179678,50.000
1232584,65623,179678,50.000
1232587,65623,179678,50.000
1232590,65623,179678,50.000
1232591,65623,179678,50.000
1232594,65623,179678,50.000
1232595,65623,179678,50.000
1232599,65623,179678,50.000
1232600,65623,179678,50.000
1232603,65623,179678,50.000
1232605,65623,179678,50.000
1232607,65623,179678,50.000
1232611,65623,179678,50.000
1232612,65623,179678,50.000
1232614,65623,179678,50.000
1232615,65623,179678,50.000
1232616,65623,179678,50.000
1232617,65623,179678,50.000
1232618,65623,179678,50.000
1232620,65623,179678,50.000
1232621,65623,179678,50.000
1232622,65623,179678,50.000
1232623,65623,179678,50.000
1232624,65623,179678,50.000
1232625,65623,179678,50.000
1232626,65623,179678,50.000
1232627,65623,179678,50.000
1232628,65623,179678,50.000
1232629,65623,179678,50.000
1232631,65623,179678,50.000
1232633,65623,179678,50.000
1232635,65623,179678,50.000
1232638,65623,179678,50.000
1232639,65623,179678,50.000
1232650,65623,179678,50.000
1232651,65623,179678,50.000
1232652,65623,179678,50.000
1232653,65623,179678,50.000
1232654,65623,179678,50.000
1232655,65623,179678,50.000
1232656,65623,179678,50.000
1232657,65623,179678,50.000
1232658,65623,179678,50.000
1232659,65623,179678,50.000
1232660,65623,179678,50.000
1232661,65623,179678,50.000
1232668,65623,179678,50.000
1232669,65623,179678,50.000
1232670,65623,179678,50.000
1232671,65623,179678,50.000
1232672,65623,179678,50.000
1232673,65623,179678,50.000
1232674,65623,179678,50.000
1232675,65623,179678,50.000
1232676,65623,179678,50.000
1232677,65623,179678,50.000
1232678,65623,179678,50.000
1232679,65623,179678,50.000
1232680,65623,179678,50.000
1232681,65623,179678,50.000
1232682,65623,179678,50.000
1232695,65623,179678,18.000
1232698,65623,179678,50.000
1232699,65623,179678,50.000
1232700,65623,179678,50.000
1232701,65623,179678,50.000
1232702,65623,179678,50.000
1232703,65623,179678,50.000
1232704,65623,179678,50.000
1232705,65623,179678,50.000
1232706,65623,179678,50.000
1232707,65623,179678,50.000
1232708,65623,179678,50.000
1232709,65623,179678,50.000
1232717,65623,179678,25.000
1232720,65629,376580,80.000
1232722,65629,376580,80.000
1232724,65629,376580,80.000
1232726,65629,376580,80.000
1232729,65629,376580,80.000
1232730,65629,376580,80.000
1232732,65629,376580,80.000
1232734,65629,376580,80.000
1232735,65629,376580,80.000
1232736,65629,376580,80.000
1232738,65629,376580,80.000
1232740,65629,376580,80.000
1232743,65629,376580,80.000
1232751,65629,376580,80.000
1232753,65629,376580,80.000
1232755,65629,376580,80.000
1232757,65629,376580,80.000
1232760,65629,376580,17.000
1232767,65629,376580,80.000
1232777,65629,376580,80.000
1232778,65629,376580,80.000
1232781,65629,376580,80.000
1232782,65629,376580,80.000
1232784,65623,179678,50.000
1232785,65623,179678,50.000
1232786,65623,179678,50.000
1232787,65623,179678,50.000
1232788,65623,179678,50.000
1232789,65623,179678,50.000
1232790,65623,179678,50.000
1232791,65623,179678,50.000
1232792,65623,179678,50.000
1232793,65623,179678,50.000
1232794,65623,179678,50.000
1232795,65629,376580,80.000
